00|OTROS TIPOS DE DOCUMENTOS
01|DOCUMENTO NACIONAL DE IDENTIDAD (DNI)
04|CARNET DE EXTRANJERIA
06|REGISTRO ÚNICO DE CONTRIBUYENTES
07|PASAPORTE
08|CÉDULA DIPLOMÁTICA DE IDENTIDAD
